Campus ID,Campus Name,District,County,Grade Range,Charter?,Magnet?,Enrollment,% African American,% Asian,% Hispanic,% White,% Eco Dis,Mobility Rate,% Meets Grade Level - English I + II,% Meets Grade Level - Algebra I,Growth Score,SAT/ACT Participation Rate,Average SAT Total Score,Average ACT Total Score,AP/IB Participation Rate,AP/IB Pass Rate,Graduation Rate,Student Achievement Grade,Campus Performance Grade,Growth Grade,College Readiness Grade,C@R Grade,State Rank
227804101,NYOS CHARTER SCHOOL,NYOS CHARTER SCHOOL,TRAVIS COUNTY,4-12,Y,NO,634,11.7,6.3,33.0,45.3,27.6,8.5,62.3,91.4,53.9,90.0,1474,21.9,42.9,66.7,93%,A,A,B,A,A,86
139908001,ROXTON ISD,ROXTON ISD,LAMAR COUNTY,EE-12,N,NO,180,7.8,0.0,15.6,72.2,79.4,22.0,65.0,90.0,54.4,100.0,0,18.6,0.0,0.0,85%,A,A,B,F,A,87
43905002,CENTENNIAL H S,FRISCO ISD,COLLIN COUNTY,9-12,N,NO,2037,8.8,18.4,15.0,54.3,9.6,5.6,82.9,76.4,57.5,75.4,1640,24.6,45.9,78.1,91%,A,A,A,A,A,88
43801001,IMAGINE INTERNATIONAL ACADEMY OF NORTH TEXAS,IMAGINE INTERNATIONAL ACADEMY OF NORTH TEXAS,COLLIN COUNTY,KG-12,Y,NO,1230,12.0,29.0,14.3,38.9,6.1,8.6,90.8,80.0,54.9,100.0,1683,26.1,50.0,94.7,63%,A,A,B,C,A,89
220809001,FORT WORTH ACADEMY OF FINE ARTS,FORT WORTH ACADEMY OF FINE ARTS,TARRANT COUNTY,7-12,Y,NO,343,10.2,1.7,19.8,64.1,9.9,6.2,87.0,77.8,51.8,94.3,1597,23.6,54.9,43.5,87%,A,A,C,A,A,90
101912458,MICKEY LELAND COLLEGE PREP ACAD FOR YOUNG MEN,HOUSTON ISD,HARRIS COUNTY,6-12,N,YES,457,48.8,1.5,46.2,2.8,76.4,6.0,80.4,64.2,49.7,100.0,1408,21.0,100.0,18.2,88%,A,A,D,A,A,91
246801001,MERIDIAN WORLD SCHOOL LLC,MERIDIAN WORLD SCHOOL LLC,WILLIAMSON COUNTY,KG-12,Y,NO,1421,6.5,20.6,19.1,48.6,8.4,6.1,84.6,79.8,50.9,100.0,1758,26.2,29.3,100.0,83%,A,A,C,A,A,92
101845005,YES PREP - WEST,YES PREP PUBLIC SCHOOLS INC,HARRIS COUNTY,6-12,Y,NO,888,10.9,6.9,78.5,2.4,88.6,4.8,68.7,74.4,49.0,100.0,1377,21.0,74.8,49.0,91%,A,A,D,A,A,93
103902001,HARTLEY SCHOOL,HARTLEY ISD,HARTLEY COUNTY,PK-12,N,NO,232,0.0,0.0,57.8,41.8,61.6,17.8,72.4,80.0,53.4,60.0,0,22.7,0.0,0.0,92%,A,A,B,D,A,94
101920014,WESTCHESTER ACADEMY FOR INTERNATIONAL STUDIES,SPRING BRANCH ISD,HARRIS COUNTY,6-12,N,NO,1023,2.9,7.8,69.7,18.3,57.3,3.7,73.4,66.7,53.0,100.0,1445,21.8,45.5,60.9,95%,A,A,B,A,A,95
81902002,FAIRFIELD H S,FAIRFIELD ISD,FREESTONE COUNTY,9-12,N,NO,543,18.6,0.9,16.6,61.1,41.8,13.6,88.1,64.8,57.1,64.9,1585,19.6,14.5,26.5,84%,A,A,A,C,A,96
