Campus ID,Campus Name,District,County,Grade Range,Charter?,Magnet?,Enrollment,% African American,% Asian,% Hispanic,% White,% Eco Dis,Mobility Rate,% Meets Grade Level - Reading,% Meets Grade Level - Math,Growth Score,Student Achievement Grade,Campus Performance Grade,Growth Grade,C@R Grade,State Rank,Regional Rank
227901112,CASIS EL,AUSTIN ISD,TRAVIS COUNTY,EE-5,N,NO,817,0.9,3.7,10.8,80.3,2.6,3.6,84.8,77.2,53.8,A,A,B,A,144,13
246909139,ELSA ENGLAND EL,ROUND ROCK ISD,WILLIAMSON COUNTY,EE-5,N,NO,970,1.5,61.5,8.1,25.8,4.6,7.9,77.6,81.8,55.9,A,A,A,A,147,14
227901184,CLAYTON EL,AUSTIN ISD,TRAVIS COUNTY,KG-5,N,NO,852,0.7,15.5,13.7,66.2,1.2,2.7,82.5,78.1,55.8,A,A,A,A,156,15
227901154,DOSS EL,AUSTIN ISD,TRAVIS COUNTY,EE-5,N,NO,879,2.0,9.9,15.8,67.6,14.6,9.2,78.5,75.6,54.3,A,A,B,A,160,16
227901181,MILLS EL,AUSTIN ISD,TRAVIS COUNTY,EE-5,N,NO,843,1.7,11.7,23.8,56.0,7.2,5.0,80.2,76.7,54.8,A,A,B,A,169,17
246913123,RIVER RIDGE EL,LEANDER ISD,TRAVIS COUNTY,EE-5,N,NO,730,0.5,12.3,10.8,70.0,1.1,4.7,78.1,80.2,57.7,A,A,A,A,172,18
246909138,LINDA HERRINGTON EL,ROUND ROCK ISD,WILLIAMSON COUNTY,EE-5,N,NO,1000,8.4,5.6,35.8,43.5,22.6,9.9,66.9,78.1,58.7,A,A,A,A,191,19
246909110,KATHY CARAWAY EL,ROUND ROCK ISD,TRAVIS COUNTY,KG-5,N,NO,761,3.7,33.6,15.6,41.9,10.6,15.0,77.0,76.9,54.0,A,A,B,A,194,20
246913111,LAURA WELCH BUSH EL,LEANDER ISD,TRAVIS COUNTY,EE-5,N,NO,795,0.6,13.5,13.6,66.3,1.1,4.1,76.9,77.1,56.8,A,A,A,A,255,21
227901103,BARTON HILLS EL,AUSTIN ISD,TRAVIS COUNTY,KG-6,N,NO,426,1.9,1.6,24.6,66.0,5.9,4.7,77.4,74.0,55.4,A,A,A,A,265,22
246909123,FERN BLUFF EL,ROUND ROCK ISD,WILLIAMSON COUNTY,KG-5,N,NO,630,2.5,10.3,16.5,63.0,7.8,5.2,77.1,72.4,56.4,A,A,A,A,268,23
227909103,VALLEY VIEW EL,EANES ISD,TRAVIS COUNTY,KG-5,N,NO,498,0.2,3.6,19.5,72.3,5.8,3.9,77.1,74.1,52.3,A,A,B,A-,297,24
246913115,RUTLEDGE EL,LEANDER ISD,WILLIAMSON COUNTY,EE-5,N,NO,804,2.1,21.3,20.1,50.9,8.2,7.4,76.5,72.2,53.1,A,A,B,A-,308,25
246913107,STEINER RANCH EL,LEANDER ISD,TRAVIS COUNTY,EE-5,N,NO,604,3.3,10.6,16.9,63.2,10.4,8.6,77.0,69.6,54.3,A,A,B,A-,309,26
227901183,COWAN EL,AUSTIN ISD,TRAVIS COUNTY,EE-5,N,NO,832,5.0,4.8,41.1,42.8,29.4,10.5,67.6,69.9,54.5,A,A,B,A-,318,27
227909102,CEDAR CREEK EL,EANES ISD,TRAVIS COUNTY,KG-5,N,NO,492,1.6,10.6,13.6,67.9,3.3,3.2,77.9,72.8,53.2,A,A,B,A-,324,28
246909135,CHANDLER OAKS EL,ROUND ROCK ISD,WILLIAMSON COUNTY,KG-5,N,NO,546,2.4,8.8,19.8,63.7,8.1,6.3,71.4,74.6,55.9,A,A,A,A-,328,29
227909101,EANES EL,EANES ISD,TRAVIS COUNTY,KG-5,N,NO,671,0.4,6.7,13.6,74.8,2.4,2.8,72.5,76.2,55.0,A,A,A,A-,348,30
